bad_prompts,improved_prompts
"Sugar in the body and diabetes, what's the deal?",Explain the biochemical mechanisms through which the body regulates glucose levels and discuss the implications of their failure in the context of diabetes.
"""Waiting for Godot"" and life's big questions, thoughts?","Analyze the portrayal of the human condition and existential crises in Samuel Beckett's ""Waiting for Godot"" in relation to the Theatre of the Absurd."
"Machine learning, big data and business, how do they mix?",How is the use of machine learning and predictive analytics in big data transforming decision-making processes in the business sector?
"Palm oil production in Southeast Asia, any problems?",Evaluate the potential ecological and socio-economic implications of unregulated palm oil production on Southeast Asian communities and their environments.
"Internet, media and journalism, what's changed?",Discuss the transformation of mass media in the age of the internet and assess its implications for journalism and information dissemination.
"Quantum entanglement and computers, can you break it down?",Explain the concept of quantum entanglement and discuss its potential applications in the realm of quantum computing.
"""Notes from Underground"" and psychology, what's it saying?","Analyze the exploration of human psychology in Dostoevsky's ""Notes from Underground"" within the framework of existentialist philosophy."
"Greek philosophy, Renaissance and science, any connections?",Discuss the influence of Greek philosophy on the development of Western scientific thought during the Renaissance.
"How does GPS work, really?","Explain how GPS technology works, detailing the role of atomic clocks and satellite triangulation."
"Stress and immunity, is there a link?","What are the potential effects of chronic stress on the human immune system, considering both physiological and psychological perspectives?"
"CRISPR and human genes, what's the future?",Discuss the potential applications and ethical implications of CRISPR-Cas9 gene editing technology in the context of human genetic modification.
"""The Things They Carried,"" war and memory, what's it trying to say?","Analyze the themes of war and memory in Tim O'Brien's ""The Things They Carried"" and discuss their relevance to the Vietnam War."
"DNA to protein, why does it matter?","Explain the intricate process of protein synthesis from DNA transcription to translation, and its significance in cell function."
"Industrial Revolution and Victorian society, what changed?","Discuss the socio-economic impacts of the Industrial Revolution on Victorian society, with emphasis on the transformation of labor conditions."
"Space travel and the brain, any impact?",Evaluate the neurobiological effects of prolonged space travel considering both cognitive and physical health aspects.
"""The Handmaid's Tale"" vs ""1984,"" thoughts on totalitarianism?","Analyze the representation of totalitarian regimes in Margaret Atwood's ""The Handmaid's Tale"" and George Orwell's ""1984"" in the context of dystopian literature."
"Cloud computing and data, what's the impact?","Discuss the evolving role of the cloud computing in data storage, analysis, and security."
"Write about ""A Farewell to Arms.""","Analyze the depiction of war in Ernest Hemingway's ""A Farewell to Arms."""
Talk about quantum computing.,Explain the significance of quantum computing.
Write about palm oil.,Discuss the ecological impact of palm oil production.
Talk about space travel.,Evaluate the potential long-term effects of space travel on human health.
Write about sustainable agriculture.,How does sustainable agriculture contribute to food security?
Write about Dali's art.,Analyze the role of surrealism in Salvador Dali's artworks.
Talk about a butterfly.,Describe the life cycle of a monarch butterfly.
Write about plastic in the ocean.,Discuss the impacts of plastic waste on marine ecosystems.
Write about gut bacteria.,Explain the role of gut microbiota in human health.
"Write about ""The Trial.""","Analyze the themes of morality and law in Franz Kafka's ""The Trial."""
Write about VR and education.,How is virtual reality reshaping the field of education?
Write about Lincoln and Washington.,Compare and contrast the leadership styles of Abraham Lincoln and George Washington.
Talk about languages dying out.,Discuss the sociocultural implications of language extinction.
