bad_prompts,improved_prompts
"Cretae a imag proccesing librry in Pyhton. It shuld read various image formates, do stuff like resize, crop, rotat and do some filtor things like grayscal, blurr, edge dection. Also, add histogrm equilization and contrest enhancemnt. Desing the librry to be moduler, efficiant, and easy to use, giving clear documntation and code saples for ussage.","Develop an image processing library with capabilities to read different image formats and perform tasks like resizing, cropping, rotation, and applying filters such as grayscale, blur, and edge detection. Incorporate features like histogram equalization and contrast enhancement. Design the library for modularity, efficiency, and user-friendliness, offering comprehensive documentation and code examples."
"Writ a algo for sock traiding. It should look at histroical stock prise data, find paterns and make desisions to buy or sell. Use things like movin avrage, Bollingr Bands, and RSI. Also, incoporate risk mangment, portflio diversificaton, and tunable parametrs based on risks. Make a simlation thing to test it and show results.","Develop an automated stock trading algorithm. Analyze historical stock price data to identify trends and make informed decisions regarding buying or selling. Implement techniques like moving averages, Bollinger Bands, and RSI analysis. Integrate risk management, portfolio diversification, and adjustable parameters based on risk profiles. Create a simulation environment for backtesting and presenting outcomes."
"Make a NLP pipelin in Pythn. Do text preprocesing like tokennization, stemming, stop-ward removal. Add part-of-speach taggng, nameed entity recogniton, sntimnt analysis, and summariztion. Use pre-trained word embedings and shw how to train your own. Also, hav an interface for input and NLP insights.","Create a natural langauge processin pipeline in Python. Include preprocessing tasks such as tokenization, stemming, and removing stop-words. Implement part-of-speech tagging, named entity recognition, sentiment analysis, and document summarization. Utilize pre-trained word embeddings and demonstrate training custom embeddings. Offer a user-friendly interface for input and NLP insights."
"Develope a multiplayr online game with a cllient-server architecture. It shud have real-time interacitons amoung many playrs. Put in gam mecnaics, playr movemnt, detectin collisins, and som logic for scorng. Have a place wher playrs can join and a chat thing. Make sure to sync the game on server and think about cheetig too.","Design and create a multiplayer online game using a client-server setup. Enable real-time interactions among multiple players. Implement game mechanics, player movement, collision detection, and scoring functionality. Establish a lobby for player engagement and incorporate a chat system. Ensure synchronization of game state on the server and address security concerns like cheating."
"Code a dron navgation systm. Mak it able to go in complx places, avod things, and reach a spcific place. Use camras or depth sencers for obstackle findig and use SLAM stuff for map makig. Have contrl algos for movemnt and safet.","Develop a drone navigation system capable of navigating complex environments, avoiding obstacles, and reaching designated locations. Utilize cameras or depth sensors for obstacle detection and integrate SLAM techniques for mapping. Implement control algorithms for movement and safety considerations."
"Creat a healtheare data analytix platform. It needs to procsess big medical data, like elctronic helth record, images, reports. Do machin lerning for disease predictin, ptient risk assessment, and tratment suggestin. Mak sure it folow priacy rulz and has dashboards for docs.","Design a comprehensive healthcare analytics platform capable of handling substantial medical data, including electronic health records, images, and reports. Implement machine learning models for disease prediction, patient risk assessment, and treatment recommendations. Ensure adherence to privacy regulations and provide interactive dashboards for healthcare professionals."
"Make a robotic arm manuplation sysm. The arm shuld grab, lift, and do stuff with objcts in a dynamic area. Use computor vision things for objct detection, plannin paths, and controlling arm movments. Add a UI to say what to do and show the arm moving.","Develop an autonomous robotic arm manipulation system with the ability to grasp, lift, and manipulate objects within a dynamic environment. Utilize computer vision techniques for object detection, path planning, and arm movement control. Implement a user interface for specifying tasks and visualizing arm actions."
"Build a mobile app for social media. It shoud have friending and posts. Users can like and comment. Also, add notificatons. Design it nice and mak it work on all dveices.","Develop a mobile social media application with features for establishing connections between users and sharing posts. Allow users to interact through likes and comments, and include a notification system. Prioritize user-friendly design and ensure cross-device compatibility."
Create a machine learning model for image clasification. It should use a big dataset and train the model. Implement things like convolutioal layers and fully conected layers. Test and show the results.,Develop a machine learning model to classify images. Train the model using a substantial dataset. Incorporate convolutional and fully connected layers into the architecture. Evaluate the model's performance through testing and display the outcomes.
"Make an online marketplace. The website should have products, shoppng carts, and checkot. Users can add items and buy them. Use secure payment methods and make sure the website works on all browsers.","Design an online marketplace featuring products, shopping carts, and a checkout process. Users should be able to add items to their carts and complete purchases. Ensure the integration of secure payment methods and optimize the website's cross-browser compatibility."
"Write a program for data analysis. It shoul read data, do math, and make graphs. You can use libraries for it. Show how to do it with code examples.","Develop a data analysis program that reads input data, performs mathematical operations, and generates graphical representations. Utilize relevant libraries to facilitate these tasks. Provide code examples to illustrate the process of data analysis."
"Develop a fitness tracking app. The app should record workouts and calories. Users can set goals and track progress. Also, add a feature to suggest workouts and diet plans. Make it look nice and work on both Android and iOS.",Create a fitness tracking application to log workouts and calorie consumption. Allow users to set goals and monitor their progress. Implement features to recommend workouts and dietary plans. Prioritize an appealing user interface and ensure cross-platform functionality on both Android and iOS devices.
"Design a smart home automation system. The system should control lights, thermostats, and security cameras. Users can schedule actions and control devices remotely. Integrate voice commands and ensure compatibility with various smart devices.","Develop a smart home automation system to manage lighting, thermostats, and security cameras. Enable users to schedule actions and remotely control devices. Implement voice control functionality and ensure interoperability with a wide range of smart devices."
"Build an educational platform. The platform should have courses, videos, and quizzes. Students can enroll in courses and track their progress. Incorporate interactive learning materials and a discussion forum. Ensure easy navigation and compatibility with different browsers.","Create an educational platform featuring courses, video content, and quizzes. Allow students to enroll in courses and monitor their learning journey. Implement interactive learning materials and a platform for student discussions. Prioritize user-friendly navigation and cross-browser compatibility."
